Actual,Forecast
2304318.0,416107.53
1395439.0,620612.06
901662.0,693725.9
278010.0,602071.94
255524.0,260226.02
85929.0,242263.34
244201.0,93254.05
788251.0,233060.17
901147.0,560881.4
1200512.0,601903.9
2021915.0,672911.8
2976450.0,664438.5
74488.0,487090.06
223100.0,82335.89
3453194.0,215626.56
292325.0,390400.06
923885.0,271444.66
1036956.0,609164.44
1403406.0,640537.8
2334668.0,694207.4
88429.0,615236.0
262937.0,95625.2
438289.0,248231.16
1263385.0,376334.3
2046021.0,681603.6
3157506.0,661218.1
4583672.0,449616.94
116838.0,208725.3
363340.0,122201.734
1421116.0,324623.72
1166935.0,695180.75
2226575.0,667445.94
107262.0,633871.1
369868.0,113319.0
3333479.0,329306.72
4703447.0,413973.1
428245.0,194246.06
84189.0,369664.5
218565.0,91600.66
331538.0,211831.58
4035885.0,301316.53
963234.0,286667.66
1756712.0,620964.1
2797449.0,691271.6
877876.0,524312.75
1437585.0,594131.6
787621.0,695967.7
767861.0,560628.56
262065.0,552562.4
186680.0,247531.48
73677.0,184667.03
2461470.0,81557.79
3586692.0,591752.0
631380.0,364915.34
159207.0,489355.0
3133000.0,160582.06
2125630.0,454653.72
690996.0,649821.3
208570.0,518601.1
62262.0,203407.25
767938.0,70547.234
178274.0,552594.25
239246.0,177364.52
718836.0,228999.48
1284911.0,531382.25
2296989.0,684132.44
3377895.0,621894.44
72639.0,405154.6
925999.0,80561.08
221037.0,609822.94
302759.0,213902.34
1094291.0,279515.84
1625888.0,653564.8
2923280.0,697449.94
4286063.0,498160.84
91531.0,248645.72
81680.0,98560.03
1346038.0,89212.07
2510682.0,690122.0
3634761.0,582262.3
272017.0,355968.78
751349.0,255479.28
750710.0,545615.7
187646.0,545343.2
1354648.0,185502.45
74768.0,690828.0
180125.0,82604.4
255723.0,178977.56
706677.0,242424.12
1300571.0,525867.9
2689569.0,685832.9
3709579.0,546506.3
2737312.0,342302.34
1371534.0,536724.06
258403.0,692116.44
745776.0,244586.45
76529.0,543228.56
184129.0,84291.66
1111335.0,182457.11
2127445.0,657080.1
583821.0,649548.56
3067802.0,464150.44
561741.0,468117.1
199009.0,451873.16
61206.0,195271.05
148321.0,69523.125
3048799.0,150864.23
1956176.0,472055.47
589659.0,672623.44
194989.0,467335.2
150339.0,191827.39
62451.0,152673.17
1091291.0,70730.43
145270.0,652929.44
186024.0,148122.88
538410.0,184099.25
569614.0,438498.7
1029518.0,456293.06
1953667.0,638709.2
3057604.0,672917.7
57111.0,470229.9
3278319.0,65542.945
2111235.0,425033.25
622611.0,651964.56
211608.0,484834.0
598734.0,205976.64
1110378.0,472235.12
159575.0,656887.0
64313.0,160908.86
1770074.0,72533.625
939509.0,690349.0
2790598.0,613964.8
513448.0,525730.7
160160.0,423728.16
49641.0,161428.06
129317.0,58246.152
2883471.0,133662.02
1885690.0,506449.0
1013262.0,680346.25
586156.0,634599.94
517551.0,465427.3
188447.0,426188.94
144421.0,186194.58
54953.0,147358.64
1099827.0,63439.785
197779.0,654724.3
599431.0,194218.83
2071017.0,472608.88
178201.0,657762.4
3235262.0,177300.83
67570.0,433742.6
3017046.0,75680.76
591901.0,478647.38
574014.0,468551.47
197400.0,458742.8
160398.0,193894.33
63347.0,161639.25
67336.0,71598.49
1084128.0,75454.945
2025461.0,651391.75
3223253.0,663971.9
213163.0,436182.56
167563.0,207288.78
622252.0,167974.22
612737.0,484647.62
193567.0,479675.3
78573.0,190606.06
243224.0,86246.805
688464.0,232261.11
694316.0,517411.22
1154974.0,520154.25
2261094.0,665356.1
3665788.0,628079.5
69345.0,350262.47
180821.0,77392.14
216178.0,179583.39
632424.0,209827.22
1105675.0,489889.4
2199420.0,655930.7
3543797.0,638311.94
677096.0,373004.34
314879.0,512012.38
919763.0,288779.47
1955083.0,607872.44
2383839.0,672751.75
3756097.0,606313.25
3320725.0,333969.66
2068096.0,416520.1
1676560.0,658172.1
792673.0,695695.25
281102.0,562648.0
2101273.0,262663.47
249598.0,653427.06
712806.0,237459.98
1665241.0,528660.56
3440102.0,696159.8
253296.0,392946.8
708302.0,240460.8
1512154.0,526610.94
1949385.0,698155.4
3131811.0,673416.6
234870.0,454898.5
680125.0,225396.39
1499693.0,513460.0
3302399.0,697942.44
2097116.0,420190.9
233305.0,654032.3
699220.0,224103.97
1563578.0,522434.16
2121053.0,698414.1
3294811.0,650506.44
3507414.0,421714.53
2227847.0,379940.62
250201.0,633660.5
758856.0,237950.08
1615793.0,548797.44
3358925.0,697697.5
2105210.0,408910.97
1562609.0,652851.06
233506.0,698418.25
695978.0,224270.08
3311139.0,520928.88
2069084.0,418438.66
1633456.0,658033.75
688525.0,697241.7
222620.0,517440.0
2106685.0,215225.7
254773.0,652634.7
733809.0,241656.2
1596552.0,538029.06
3375812.0,698072.94
3558134.0,405566.34
2299894.0,370289.88
1753542.0,621386.9
302037.0,691482.94
843778.0,278960.22
75211.0,582109.1
3223690.0,83029.1
2106583.0,436093.75
1725522.0,652649.6
748273.0,693223.44
1105889.89355354,544300.8
814488.5454768875,655974.6
979088.3689724162,571169.75
415539.8069614131,625449.0
1259444.862930577,361112.8
1066634.3771662544,681116.44
860032.8450280115,647514.94
386342.99990530254,587935.06
1966490.3510025993,340972.84
823783.2609459406,671399.5
